epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2790.35,0.44017,0.80916,0.34881,0.8765,0.96677,0.96681,0.97633,0.90977,0.96587,0.96335,0.97157,0.88347,0.40622,0.93394,0.30329,0.85318,0.000152011,0.000152011,0.000152011
60,2840.5,0.44127,0.8194,0.34977,0.87815,0.96606,0.95976,0.97635,0.91272,0.96392,0.95744,0.9718,0.88725,0.40462,0.93893,0.30565,0.85119,0.000148476,0.000148476,0.000148476
61,2890.7,0.43877,0.82068,0.3492,0.87676,0.96209,0.96417,0.97514,0.90964,0.96401,0.95922,0.96846,0.88331,0.40202,0.93468,0.29842,0.84662,0.000144942,0.000144942,0.000144942
62,2943.06,0.43899,0.81607,0.34419,0.87796,0.96152,0.97105,0.97638,0.91013,0.9681,0.95936,0.97081,0.88364,0.40151,0.95349,0.29808,0.8467,0.000141408,0.000141408,0.000141408
63,2992.32,0.43866,0.81324,0.34188,0.87507,0.96209,0.97224,0.9768,0.91389,0.96127,0.9685,0.97316,0.8896,0.39738,0.87093,0.29461,0.84276,0.000137873,0.000137873,0.000137873
64,3039.19,0.44044,0.8024,0.34285,0.87524,0.96734,0.96822,0.97653,0.91331,0.96728,0.96052,0.96894,0.88539,0.40171,0.89422,0.29492,0.84786,0.000134339,0.000134339,0.000134339
65,3086.83,0.43795,0.81836,0.33907,0.87583,0.9654,0.96314,0.97749,0.91497,0.96152,0.96005,0.97124,0.88709,0.39639,0.93099,0.29638,0.84378,0.000130805,0.000130805,0.000130805
66,3134.2,0.42767,0.78965,0.3318,0.87472,0.96713,0.96034,0.97619,0.91614,0.96649,0.95579,0.97102,0.88823,0.39639,0.92919,0.29317,0.8475,0.000127271,0.000127271,0.000127271
67,3182.57,0.42857,0.79483,0.3331,0.87484,0.96125,0.96615,0.97724,0.91437,0.96491,0.9578,0.97191,0.88858,0.39735,0.93503,0.29477,0.84493,0.000123736,0.000123736,0.000123736
68,3229.99,0.42952,0.78823,0.33621,0.87438,0.96314,0.96396,0.97303,0.91141,0.96145,0.95711,0.96665,0.88484,0.39777,0.93251,0.2952,0.84938,0.000120202,0.000120202,0.000120202
69,3276.71,0.43216,0.8008,0.33163,0.8743,0.96447,0.96203,0.97414,0.91568,0.96165,0.95784,0.96777,0.88772,0.39582,0.92422,0.2928,0.84437,0.000116668,0.000116668,0.000116668
70,3324.47,0.42554,0.78421,0.32909,0.8704,0.96607,0.96688,0.97453,0.91865,0.96508,0.96314,0.97006,0.8903,0.38987,0.9288,0.29099,0.84037,0.000113133,0.000113133,0.000113133
71,3371.91,0.42414,0.77197,0.32643,0.87352,0.96191,0.96842,0.97718,0.91926,0.96732,0.9582,0.97223,0.89147,0.39187,0.91752,0.29117,0.8435,0.000109599,0.000109599,0.000109599
72,3419.54,0.42216,0.7796,0.32553,0.86899,0.96732,0.96741,0.97593,0.91679,0.96805,0.96187,0.97111,0.89206,0.39049,0.9294,0.28948,0.8439,0.000106065,0.000106065,0.000106065
73,3466.82,0.42271,0.77768,0.32447,0.87087,0.96237,0.97047,0.97662,0.91666,0.96493,0.96053,0.97036,0.89156,0.39398,0.93277,0.28993,0.84751,0.00010253,0.00010253,0.00010253
74,3514.35,0.42042,0.78056,0.31982,0.86841,0.96228,0.9704,0.97553,0.91733,0.96457,0.9621,0.97043,0.89151,0.39033,0.92911,0.28826,0.84466,9.89961e-05,9.89961e-05,9.89961e-05
75,3562.01,0.42173,0.78973,0.3195,0.87131,0.96409,0.96925,0.97637,0.91655,0.96164,0.96021,0.96941,0.89216,0.39076,0.93067,0.28983,0.84226,9.54618e-05,9.54618e-05,9.54618e-05
76,3610.21,0.41665,0.76785,0.31703,0.86689,0.96516,0.97046,0.9765,0.91723,0.96107,0.96565,0.97091,0.89045,0.38833,0.93432,0.28584,0.84281,9.19275e-05,9.19275e-05,9.19275e-05
77,3659.76,0.42169,0.77167,0.31983,0.86934,0.96611,0.96753,0.97679,0.91982,0.96315,0.9611,0.96973,0.8909,0.38877,0.92651,0.28609,0.84179,8.83932e-05,8.83932e-05,8.83932e-05
78,3708.02,0.41764,0.77438,0.3175,0.8703,0.96851,0.96574,0.97757,0.91892,0.96708,0.9619,0.97345,0.89061,0.3866,0.93717,0.286,0.83932,8.48589e-05,8.48589e-05,8.48589e-05
79,3756.41,0.42138,0.78541,0.31782,0.86986,0.9665,0.96991,0.97817,0.92147,0.96765,0.9648,0.97254,0.89315,0.38472,0.92676,0.28033,0.83925,8.13246e-05,8.13246e-05,8.13246e-05
80,3803.54,0.41243,0.76446,0.3119,0.86677,0.9648,0.9701,0.97872,0.91974,0.96652,0.961,0.97098,0.8918,0.38723,0.91776,0.28326,0.84188,7.77903e-05,7.77903e-05,7.77903e-05
81,3851.07,0.41068,0.75359,0.30995,0.86655,0.96959,0.96384,0.97823,0.92119,0.96787,0.95983,0.97223,0.89411,0.38433,0.9207,0.28355,0.84052,7.4256e-05,7.4256e-05,7.4256e-05
82,3897.42,0.41368,0.74644,0.31115,0.86794,0.96271,0.97108,0.97714,0.92121,0.96481,0.96261,0.97184,0.89385,0.38072,0.92814,0.28056,0.84134,7.07217e-05,7.07217e-05,7.07217e-05
83,3946.35,0.40738,0.7436,0.30585,0.8653,0.9692,0.96854,0.9759,0.92016,0.96688,0.96236,0.96869,0.89214,0.38407,0.9328,0.28113,0.84485,6.71874e-05,6.71874e-05,6.71874e-05
84,3995.09,0.40881,0.75948,0.30715,0.86702,0.96832,0.96688,0.97527,0.91959,0.96687,0.96383,0.97026,0.89293,0.38589,0.92669,0.28013,0.84431,6.36531e-05,6.36531e-05,6.36531e-05
85,4043.74,0.40872,0.74649,0.3056,0.86514,0.9655,0.97126,0.97685,0.9207,0.96449,0.96519,0.97093,0.89502,0.38564,0.9247,0.28137,0.84271,6.01188e-05,6.01188e-05,6.01188e-05
86,4091.15,0.40597,0.75158,0.3042,0.86502,0.969,0.96603,0.97618,0.92129,0.9685,0.96115,0.97097,0.89524,0.38245,0.9209,0.27845,0.83888,5.65845e-05,5.65845e-05,5.65845e-05
87,4138.52,0.40609,0.75425,0.30342,0.86387,0.97155,0.96482,0.97664,0.92084,0.97055,0.96191,0.97171,0.89606,0.38455,0.91399,0.27668,0.84199,5.30502e-05,5.30502e-05,5.30502e-05
88,4185.13,0.40485,0.74641,0.30234,0.86474,0.96851,0.96596,0.97657,0.92065,0.96729,0.96116,0.971,0.89557,0.38305,0.92506,0.27691,0.8408,4.95159e-05,4.95159e-05,4.95159e-05
89,4231.6,0.40289,0.73972,0.30109,0.86529,0.96963,0.96662,0.97681,0.92088,0.9675,0.96053,0.97016,0.89662,0.37975,0.92408,0.2767,0.83885,4.59816e-05,4.59816e-05,4.59816e-05
90,4278.23,0.40435,0.7546,0.30166,0.86399,0.96996,0.9682,0.97751,0.92129,0.96648,0.96403,0.97099,0.89443,0.38051,0.92525,0.27489,0.83953,4.24473e-05,4.24473e-05,4.24473e-05
91,4334.5,0.35169,0.66221,0.25071,0.83104,0.96245,0.97153,0.97681,0.91835,0.96232,0.96028,0.96964,0.88955,0.3852,0.94899,0.28067,0.84215,3.8913e-05,3.8913e-05,3.8913e-05
92,4384.05,0.34555,0.65185,0.2354,0.82823,0.9582,0.9733,0.97676,0.91834,0.96102,0.96088,0.96994,0.88984,0.38597,0.95222,0.28226,0.84266,3.53787e-05,3.53787e-05,3.53787e-05
93,4430.59,0.33857,0.63638,0.23262,0.82381,0.96377,0.96652,0.97731,0.91914,0.96203,0.95969,0.97036,0.89134,0.38707,0.9558,0.27981,0.84227,3.18444e-05,3.18444e-05,3.18444e-05
94,4480.98,0.33899,0.6422,0.23205,0.82464,0.96154,0.97036,0.97811,0.92065,0.96076,0.96076,0.97066,0.89367,0.38619,0.95282,0.27753,0.84138,2.83101e-05,2.83101e-05,2.83101e-05
95,4531.69,0.33572,0.63785,0.2294,0.82358,0.96663,0.96663,0.97853,0.92174,0.96513,0.95901,0.97127,0.89413,0.38453,0.95568,0.2763,0.84128,2.47758e-05,2.47758e-05,2.47758e-05
96,4581.74,0.33242,0.63616,0.22889,0.82395,0.96556,0.96883,0.97865,0.92188,0.96323,0.95961,0.97178,0.89497,0.38373,0.94971,0.27334,0.84086,2.12415e-05,2.12415e-05,2.12415e-05
97,4632.45,0.3298,0.62651,0.22526,0.82108,0.96235,0.97262,0.97885,0.92198,0.96521,0.96021,0.97244,0.89418,0.38385,0.95534,0.27301,0.84109,1.77072e-05,1.77072e-05,1.77072e-05
98,4681.07,0.32865,0.62005,0.22336,0.81897,0.96117,0.97404,0.97814,0.92334,0.96537,0.95844,0.97137,0.89356,0.38314,0.96317,0.27432,0.84051,1.41729e-05,1.41729e-05,1.41729e-05
99,4730.07,0.32934,0.62117,0.22328,0.82112,0.96607,0.96849,0.97827,0.92267,0.96508,0.95908,0.97144,0.89448,0.3828,0.96877,0.27383,0.84017,1.06386e-05,1.06386e-05,1.06386e-05
