epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2142.7,0.51378,1.48452,0.45453,0.912,0.95135,0.89046,0.92451,0.83929,0.94647,0.88251,0.91175,0.79603,0.44821,1.2638,0.35953,0.87348,0.000236351,0.000236351,0.000236351
41,2188.68,0.51473,1.47064,0.44965,0.91315,0.95292,0.8944,0.9247,0.84181,0.95038,0.88962,0.91419,0.79881,0.45117,1.2574,0.35146,0.87976,0.00023254,0.00023254,0.00023254
42,2234.49,0.50619,1.45911,0.44758,0.9096,0.95941,0.88983,0.92711,0.84352,0.95882,0.88566,0.91554,0.80237,0.44863,1.27866,0.35113,0.87795,0.000228729,0.000228729,0.000228729
43,2280.59,0.50118,1.41461,0.43812,0.90646,0.95234,0.8913,0.91987,0.83906,0.94478,0.88561,0.90625,0.79573,0.45303,1.27318,0.37133,0.88383,0.000224917,0.000224917,0.000224917
44,2326.16,0.50698,1.43409,0.44279,0.90949,0.95565,0.8977,0.91902,0.83919,0.95236,0.89425,0.90939,0.79749,0.44591,1.23635,0.36468,0.8775,0.000221106,0.000221106,0.000221106
45,2372.32,0.49663,1.44827,0.42614,0.90505,0.96453,0.8902,0.92511,0.84275,0.95595,0.88864,0.91321,0.80117,0.44811,1.28642,0.35267,0.87765,0.000217294,0.000217294,0.000217294
46,2418.34,0.50127,1.38206,0.42932,0.90617,0.95549,0.89201,0.92676,0.84279,0.95537,0.88244,0.91256,0.79941,0.44418,1.27016,0.34384,0.87446,0.000213482,0.000213482,0.000213482
47,2464.24,0.49834,1.41887,0.42672,0.9068,0.95686,0.89515,0.92621,0.84498,0.94941,0.89034,0.91146,0.80149,0.44003,1.26439,0.34478,0.87308,0.000209671,0.000209671,0.000209671
48,2510.04,0.49612,1.43056,0.42133,0.90592,0.96449,0.89699,0.92929,0.84599,0.95765,0.89175,0.91421,0.80399,0.43867,1.24604,0.33411,0.87172,0.00020586,0.00020586,0.00020586
49,2556.16,0.49226,1.41228,0.42444,0.90371,0.95761,0.90112,0.92943,0.84812,0.95302,0.89549,0.91688,0.80728,0.4362,1.21984,0.32953,0.87005,0.000202048,0.000202048,0.000202048
50,2601.98,0.49619,1.39173,0.42201,0.90648,0.95872,0.88539,0.92321,0.84388,0.94966,0.87828,0.90715,0.79838,0.44059,1.27061,0.34174,0.87582,0.000198236,0.000198236,0.000198236
51,2648.08,0.4934,1.42209,0.41734,0.90687,0.95651,0.89923,0.9293,0.85108,0.95458,0.89441,0.91815,0.81132,0.4364,1.24406,0.32504,0.87141,0.000194425,0.000194425,0.000194425
52,2693.77,0.49223,1.42405,0.41225,0.90206,0.96297,0.89112,0.92417,0.84557,0.95376,0.8834,0.90841,0.80295,0.43463,1.27251,0.33861,0.87328,0.000190613,0.000190613,0.000190613
53,2739.68,0.49175,1.39534,0.40822,0.901,0.96155,0.88978,0.92602,0.84728,0.95672,0.87846,0.91055,0.80399,0.44029,1.28493,0.33716,0.87679,0.000186802,0.000186802,0.000186802
54,2785.93,0.48911,1.41942,0.41078,0.9004,0.96776,0.89275,0.9289,0.85001,0.96138,0.88806,0.91557,0.80929,0.43516,1.21139,0.32135,0.87308,0.00018299,0.00018299,0.00018299
55,2831.66,0.48416,1.37286,0.39858,0.8988,0.96398,0.89425,0.92813,0.85149,0.95698,0.8907,0.91786,0.80894,0.43329,1.23793,0.32069,0.87336,0.000179179,0.000179179,0.000179179
56,2877.55,0.48868,1.3677,0.40441,0.90149,0.96318,0.89395,0.92736,0.84832,0.96136,0.88239,0.9147,0.81028,0.43543,1.26715,0.33036,0.87421,0.000175367,0.000175367,0.000175367
57,2923.55,0.48467,1.36933,0.4002,0.89888,0.95911,0.89482,0.92748,0.85271,0.95059,0.8862,0.91134,0.80685,0.42788,1.21212,0.32883,0.86828,0.000171556,0.000171556,0.000171556
58,2969.58,0.47987,1.39468,0.39926,0.89635,0.96081,0.89261,0.92563,0.85162,0.95812,0.88726,0.91698,0.81509,0.42433,1.19432,0.32402,0.86613,0.000167745,0.000167745,0.000167745
59,3015.75,0.47821,1.37084,0.39581,0.89707,0.95925,0.8976,0.92817,0.85456,0.9553,0.88682,0.91528,0.81386,0.43003,1.22533,0.32248,0.87003,0.000163933,0.000163933,0.000163933
60,3061.66,0.47935,1.38797,0.39407,0.89825,0.95863,0.89666,0.93053,0.85347,0.94636,0.89067,0.91367,0.80879,0.4295,1.20744,0.31711,0.87029,0.000160122,0.000160122,0.000160122
61,3108.01,0.4768,1.35488,0.39412,0.89641,0.95824,0.89637,0.92982,0.8542,0.95818,0.88169,0.91458,0.80846,0.42388,1.21189,0.31586,0.86719,0.00015631,0.00015631,0.00015631
62,3153.94,0.47652,1.33544,0.3955,0.89387,0.96104,0.90031,0.92943,0.85658,0.95524,0.89037,0.91604,0.81282,0.41726,1.2015,0.31395,0.86204,0.000152498,0.000152498,0.000152498
63,3200.59,0.46715,1.32272,0.38289,0.8941,0.96427,0.89981,0.92876,0.854,0.9574,0.89411,0.91785,0.81409,0.41953,1.19771,0.31528,0.86325,0.000148687,0.000148687,0.000148687
64,3246.9,0.46668,1.34086,0.38212,0.89064,0.96351,0.89775,0.92811,0.85703,0.95429,0.89108,0.91556,0.81301,0.4217,1.24813,0.32413,0.86717,0.000144875,0.000144875,0.000144875
65,3293.18,0.46972,1.32947,0.38105,0.89385,0.96213,0.89699,0.92833,0.85445,0.95537,0.89297,0.91716,0.81274,0.42505,1.21548,0.3248,0.86795,0.000141064,0.000141064,0.000141064
66,3339.32,0.46712,1.31242,0.38134,0.89279,0.95803,0.90197,0.92791,0.85596,0.95112,0.89482,0.91699,0.8157,0.41769,1.24189,0.3199,0.86347,0.000137252,0.000137252,0.000137252
67,3385.55,0.46313,1.32545,0.37593,0.89174,0.96703,0.89863,0.92896,0.85635,0.96106,0.8911,0.9175,0.81583,0.41931,1.22601,0.31477,0.86499,0.000133441,0.000133441,0.000133441
68,3431.44,0.46779,1.34307,0.38059,0.89501,0.95923,0.90106,0.93069,0.85797,0.94975,0.89293,0.91647,0.81692,0.41659,1.2367,0.31021,0.86188,0.000129629,0.000129629,0.000129629
69,3477.55,0.46402,1.31067,0.37504,0.8897,0.96755,0.89589,0.92952,0.85857,0.9594,0.8884,0.91669,0.81505,0.41402,1.21611,0.31644,0.85947,0.000125818,0.000125818,0.000125818
70,3524.21,0.46887,1.29499,0.37672,0.89462,0.9616,0.9046,0.92769,0.85757,0.95659,0.89653,0.91644,0.81538,0.41653,1.20843,0.31513,0.86593,0.000122007,0.000122007,0.000122007
71,3571.02,0.45646,1.2807,0.36529,0.88858,0.96706,0.90061,0.93045,0.85905,0.95792,0.89331,0.91548,0.81599,0.41355,1.22797,0.30839,0.86275,0.000118195,0.000118195,0.000118195
72,3617.54,0.46189,1.31642,0.37026,0.89172,0.96214,0.90202,0.93038,0.85864,0.95469,0.89275,0.91625,0.81469,0.41561,1.19057,0.31076,0.86171,0.000114384,0.000114384,0.000114384
73,3663.86,0.45375,1.27416,0.36163,0.88549,0.96287,0.90235,0.93121,0.86179,0.95527,0.8947,0.91782,0.8181,0.41021,1.20454,0.30557,0.85928,0.000110572,0.000110572,0.000110572
74,3709.96,0.45606,1.28962,0.36818,0.8882,0.96477,0.90263,0.93068,0.86067,0.95434,0.89574,0.91707,0.81865,0.41291,1.22027,0.30496,0.86009,0.000106761,0.000106761,0.000106761
75,3756.08,0.44974,1.24932,0.35988,0.88874,0.96764,0.89971,0.93148,0.86007,0.96097,0.89399,0.91595,0.81778,0.41181,1.20177,0.30575,0.86089,0.000102949,0.000102949,0.000102949
76,3802.19,0.45551,1.26036,0.36534,0.88673,0.9678,0.90031,0.92981,0.86059,0.95939,0.89282,0.91563,0.81742,0.41009,1.20841,0.30414,0.85915,9.91375e-05,9.91375e-05,9.91375e-05
77,3847.99,0.45351,1.26686,0.36008,0.88942,0.97018,0.89985,0.93142,0.86281,0.95937,0.89066,0.91647,0.82042,0.40855,1.23172,0.30211,0.85829,9.5326e-05,9.5326e-05,9.5326e-05
78,3893.88,0.44936,1.24966,0.35536,0.88577,0.96382,0.90136,0.93157,0.86101,0.95284,0.89499,0.91543,0.81951,0.40929,1.21132,0.30369,0.85841,9.15145e-05,9.15145e-05,9.15145e-05
79,3940.1,0.44715,1.27394,0.35599,0.88234,0.96248,0.90666,0.932,0.86403,0.96179,0.89178,0.91686,0.82039,0.40843,1.21997,0.29743,0.8576,8.7703e-05,8.7703e-05,8.7703e-05
80,3985.94,0.45152,1.29888,0.35483,0.8865,0.96998,0.90391,0.93273,0.86586,0.96237,0.89689,0.919,0.82046,0.40777,1.19653,0.29934,0.85666,8.38915e-05,8.38915e-05,8.38915e-05
81,4032.01,0.44354,1.27419,0.35265,0.88494,0.96653,0.90123,0.93142,0.86375,0.95487,0.89416,0.91478,0.81605,0.40933,1.21605,0.29905,0.85864,8.008e-05,8.008e-05,8.008e-05
82,4078.51,0.44531,1.25841,0.35205,0.88549,0.96929,0.90309,0.9335,0.86463,0.96045,0.89614,0.91878,0.82198,0.40872,1.21322,0.29489,0.85708,7.62685e-05,7.62685e-05,7.62685e-05
83,4124.97,0.44159,1.22672,0.34617,0.8832,0.97169,0.89891,0.93422,0.86556,0.96184,0.89461,0.91994,0.82227,0.40767,1.21675,0.29314,0.857,7.2457e-05,7.2457e-05,7.2457e-05
84,4171.01,0.4459,1.24872,0.34755,0.88491,0.966,0.90471,0.93363,0.8666,0.96047,0.89485,0.91764,0.81995,0.40662,1.20704,0.2929,0.85635,6.86455e-05,6.86455e-05,6.86455e-05
85,4217.18,0.44222,1.22572,0.3463,0.88132,0.9659,0.90527,0.93322,0.86534,0.95783,0.89556,0.91815,0.81915,0.40577,1.21746,0.29243,0.85524,6.4834e-05,6.4834e-05,6.4834e-05
86,4263.51,0.43702,1.22494,0.34336,0.8811,0.96391,0.90706,0.93311,0.86639,0.95213,0.89858,0.91623,0.81952,0.40774,1.2315,0.29356,0.85725,6.10225e-05,6.10225e-05,6.10225e-05
87,4309.54,0.43485,1.22152,0.3403,0.88312,0.96305,0.90446,0.93312,0.86535,0.95575,0.89546,0.91735,0.81995,0.40593,1.22606,0.29312,0.85681,5.7211e-05,5.7211e-05,5.7211e-05
88,4355.8,0.43799,1.23351,0.34338,0.87948,0.96318,0.90347,0.93246,0.86597,0.9544,0.89552,0.91812,0.81983,0.40427,1.23645,0.29091,0.85623,5.33995e-05,5.33995e-05,5.33995e-05
89,4401.85,0.43426,1.21237,0.33659,0.8819,0.96463,0.90243,0.93222,0.86547,0.95636,0.89208,0.91691,0.81945,0.40617,1.22699,0.29633,0.85747,4.9588e-05,4.9588e-05,4.9588e-05
90,4447.54,0.43283,1.19829,0.33898,0.88065,0.96191,0.90457,0.93219,0.86548,0.95331,0.89654,0.91658,0.82061,0.40525,1.23614,0.2983,0.85768,4.57765e-05,4.57765e-05,4.57765e-05
91,4495.15,0.37754,1.08317,0.27021,0.84529,0.96242,0.89956,0.93251,0.86226,0.95395,0.89394,0.9192,0.81814,0.41244,1.2294,0.29947,0.86416,4.1965e-05,4.1965e-05,4.1965e-05
92,4541.65,0.37115,1.07663,0.26149,0.84022,0.96956,0.89472,0.93278,0.86126,0.95864,0.88722,0.91564,0.81616,0.41259,1.23447,0.2983,0.86427,3.81535e-05,3.81535e-05,3.81535e-05
93,4588.62,0.36351,1.05546,0.25638,0.83961,0.96263,0.89893,0.93358,0.86356,0.95233,0.88846,0.91407,0.81702,0.41372,1.25085,0.29906,0.86525,3.4342e-05,3.4342e-05,3.4342e-05
